asset_id,entity_id,region,site_id,ownership,vendor_id,lease_id,book_value_cents
GPU-00001,ENT-02,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00002,ENT-03,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00003,ENT-04,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00004,ENT-05,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00005,ENT-06,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00006,ENT-02,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00007,ENT-03,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00008,ENT-04,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00009,ENT-05,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00010,ENT-06,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00011,ENT-02,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00012,ENT-03,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00013,ENT-04,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00014,ENT-05,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00015,ENT-06,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00016,ENT-02,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00017,ENT-03,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00018,ENT-04,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00019,ENT-05,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00020,ENT-06,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00021,ENT-02,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00022,ENT-03,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00023,ENT-04,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00024,ENT-05,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00025,ENT-06,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00026,ENT-02,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00027,ENT-03,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00028,ENT-04,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00029,ENT-05,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00030,ENT-06,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00031,ENT-02,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00032,ENT-03,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00033,ENT-04,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00034,ENT-05,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00035,ENT-06,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00036,ENT-02,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00037,ENT-03,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00038,ENT-04,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00039,ENT-05,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00040,ENT-06,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00041,ENT-02,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00042,ENT-03,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00043,ENT-04,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00044,ENT-05,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00045,ENT-06,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00046,ENT-02,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00047,ENT-03,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00048,ENT-04,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00049,ENT-05,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00050,ENT-06,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00051,ENT-02,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00052,ENT-03,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00053,ENT-04,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00054,ENT-05,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00055,ENT-06,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00056,ENT-02,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00057,ENT-03,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00058,ENT-04,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00059,ENT-05,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00060,ENT-06,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00061,ENT-02,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00062,ENT-03,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00063,ENT-04,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00064,ENT-05,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00065,ENT-06,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00066,ENT-02,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00067,ENT-03,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00068,ENT-04,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00069,ENT-05,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00070,ENT-06,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00071,ENT-02,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00072,ENT-03,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00073,ENT-04,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00074,ENT-05,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00075,ENT-06,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00076,ENT-02,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00077,ENT-03,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00078,ENT-04,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00079,ENT-05,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00080,ENT-06,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00081,ENT-02,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00082,ENT-03,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00083,ENT-04,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00084,ENT-05,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00085,ENT-06,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00086,ENT-02,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00087,ENT-03,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00088,ENT-04,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00089,ENT-05,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00090,ENT-06,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00091,ENT-02,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00092,ENT-03,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00093,ENT-04,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00094,ENT-05,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00095,ENT-06,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00096,ENT-02,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00097,ENT-03,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00098,ENT-04,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00099,ENT-05,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00100,ENT-06,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00101,ENT-02,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00102,ENT-03,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00103,ENT-04,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00104,ENT-05,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00105,ENT-06,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00106,ENT-02,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00107,ENT-03,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00108,ENT-04,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00109,ENT-05,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00110,ENT-06,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00111,ENT-02,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00112,ENT-03,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00113,ENT-04,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00114,ENT-05,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00115,ENT-06,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00116,ENT-02,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00117,ENT-03,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00118,ENT-04,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00119,ENT-05,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00120,ENT-06,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00121,ENT-02,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00122,ENT-03,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00123,ENT-04,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00124,ENT-05,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00125,ENT-06,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00126,ENT-02,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00127,ENT-03,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00128,ENT-04,REG-2,COLO-2,owned,VEN-01,,3906250
GPU-00129,ENT-05,REG-3,COLO-1,owned,VEN-01,,3906250
GPU-00130,ENT-06,REG-1,COLO-2,owned,VEN-01,,3906250
GPU-00131,ENT-02,REG-2,COLO-1,owned,VEN-01,,3906250
GPU-00132,ENT-03,REG-3,COLO-2,owned,VEN-01,,3906250
GPU-00133,ENT-04,REG-1,COLO-1,owned,VEN-01,,3906250
GPU-00134,ENT-05,REG-2,COLO-2,owned,VEN-01,,3906250
