receipt_id,invoice_id,period,amount_cents
RCT-01-0001,INV-01-0001,2023-09,180000000
RCT-01-0002,INV-01-0002,2023-09,1442886
RCT-01-0003,INV-01-0003,2023-09,1442886
RCT-01-0004,INV-01-0004,2023-09,1442886
RCT-01-0005,INV-01-0005,2023-09,1442886
RCT-01-0006,INV-01-0006,2023-09,1442886
RCT-01-0007,INV-01-0007,2023-09,1442886
RCT-01-0008,INV-01-0008,2023-09,1442886
RCT-01-0009,INV-01-0009,2023-09,1442886
RCT-01-0010,INV-01-0010,2023-09,1442886
RCT-01-0011,INV-01-0011,2023-09,1442886
RCT-01-0012,INV-01-0012,2023-09,1442886
RCT-01-0013,INV-01-0013,2023-09,1442886
RCT-01-0014,INV-01-0014,2023-09,1442886
RCT-01-0015,INV-01-0015,2023-09,1442886
RCT-01-0016,INV-01-0016,2023-09,1442886
RCT-01-0017,INV-01-0017,2023-09,1442886
RCT-01-0018,INV-01-0018,2023-09,1442886
RCT-01-0019,INV-01-0019,2023-09,1442886
RCT-01-0020,INV-01-0020,2023-09,1442886
RCT-01-0021,INV-01-0021,2023-09,1442886
RCT-01-0022,INV-01-0022,2023-09,1442886
RCT-01-0023,INV-01-0023,2023-09,1442886
RCT-01-0024,INV-01-0024,2023-09,1442886
RCT-01-0025,INV-01-0025,2023-09,1442886
RCT-01-0026,INV-01-0026,2023-09,1442886
RCT-01-0027,INV-01-0027,2023-09,1442886
RCT-01-0028,INV-01-0028,2023-09,1442886
RCT-01-0029,INV-01-0029,2023-09,1442886
RCT-01-0030,INV-01-0030,2023-09,1442886
RCT-01-0031,INV-01-0031,2023-09,1442886
RCT-01-0032,INV-01-0032,2023-09,1442886
RCT-01-0033,INV-01-0033,2023-09,1442886
RCT-01-0034,INV-01-0034,2023-09,1442886
RCT-01-0035,INV-01-0035,2023-09,1442886
RCT-01-0036,INV-01-0036,2023-09,1442886
RCT-01-0037,INV-01-0037,2023-09,1442886
RCT-01-0038,INV-01-0038,2023-09,1442886
RCT-01-0039,INV-01-0039,2023-09,1442886
RCT-01-0040,INV-01-0040,2023-09,1442886
RCT-01-0041,INV-01-0041,2023-09,1442886
RCT-01-0042,INV-01-0042,2023-09,1442886
RCT-01-0043,INV-01-0043,2023-09,1442886
RCT-01-0044,INV-01-0044,2023-09,1442886
RCT-01-0045,INV-01-0045,2023-09,1442886
RCT-01-0046,INV-01-0046,2023-09,1442886
RCT-01-0047,INV-01-0047,2023-09,1442886
RCT-01-0048,INV-01-0048,2023-09,1442886
RCT-01-0049,INV-01-0049,2023-09,1442886
RCT-01-0050,INV-01-0050,2023-09,1442886
RCT-01-0051,INV-01-0051,2023-09,1442886
RCT-01-0052,INV-01-0052,2023-09,1442886
RCT-01-0053,INV-01-0053,2023-09,1442886
RCT-01-0054,INV-01-0054,2023-09,1442886
RCT-01-0055,INV-01-0055,2023-09,1442886
RCT-01-0056,INV-01-0056,2023-09,1442886
RCT-01-0057,INV-01-0057,2023-09,1442886
RCT-01-0058,INV-01-0058,2023-09,1442886
RCT-01-0059,INV-01-0059,2023-09,1442886
RCT-01-0060,INV-01-0060,2023-09,1442886
RCT-01-0061,INV-01-0061,2023-09,1442886
RCT-01-0062,INV-01-0062,2023-09,1442886
RCT-01-0063,INV-01-0063,2023-09,1442886
RCT-01-0064,INV-01-0064,2023-09,1442886
RCT-01-0065,INV-01-0065,2023-09,1442886
RCT-01-0066,INV-01-0066,2023-09,1442886
RCT-01-0067,INV-01-0067,2023-09,1442886
RCT-01-0068,INV-01-0068,2023-09,1442886
RCT-01-0069,INV-01-0069,2023-09,1442886
RCT-01-0070,INV-01-0070,2023-09,1442886
RCT-01-0071,INV-01-0071,2023-09,1442886
RCT-01-0072,INV-01-0072,2023-09,1442886
RCT-01-0073,INV-01-0073,2023-09,1442886
RCT-01-0074,INV-01-0074,2023-09,1442886
RCT-01-0075,INV-01-0075,2023-09,1442886
RCT-01-0076,INV-01-0076,2023-09,1442886
RCT-01-0077,INV-01-0077,2023-09,1442886
RCT-01-0078,INV-01-0078,2023-09,1442886
RCT-01-0079,INV-01-0079,2023-09,1442886
RCT-01-0080,INV-01-0080,2023-09,1442886
RCT-01-0081,INV-01-0081,2023-09,1442886
RCT-01-0082,INV-01-0082,2023-09,1442886
RCT-01-0083,INV-01-0083,2023-09,1442886
RCT-01-0084,INV-01-0084,2023-09,1442886
RCT-01-0085,INV-01-0085,2023-09,1442886
RCT-01-0086,INV-01-0086,2023-09,1442886
RCT-01-0087,INV-01-0087,2023-09,1442886
RCT-01-0088,INV-01-0088,2023-09,1442886
RCT-01-0089,INV-01-0089,2023-09,1442886
RCT-01-0090,INV-01-0090,2023-09,1442886
RCT-01-0091,INV-01-0091,2023-09,1442886
RCT-01-0092,INV-01-0092,2023-09,1442886
RCT-01-0093,INV-01-0093,2023-09,1442886
RCT-01-0094,INV-01-0094,2023-09,1442886
RCT-01-0095,INV-01-0095,2023-09,1442886
RCT-01-0096,INV-01-0096,2023-09,1442886
RCT-01-0097,INV-01-0097,2023-09,1442886
RCT-01-0098,INV-01-0098,2023-09,1442886
RCT-01-0099,INV-01-0099,2023-09,1442886
RCT-01-0100,INV-01-0100,2023-09,1442886
RCT-01-0101,INV-01-0101,2023-09,1442886
RCT-01-0102,INV-01-0102,2023-09,1442886
RCT-01-0103,INV-01-0103,2023-09,1442886
RCT-01-0104,INV-01-0104,2023-09,1442886
RCT-01-0105,INV-01-0105,2023-09,1442886
RCT-01-0106,INV-01-0106,2023-09,1442886
RCT-01-0107,INV-01-0107,2023-09,1442886
RCT-01-0108,INV-01-0108,2023-09,1442886
RCT-01-0109,INV-01-0109,2023-09,1442886
RCT-01-0110,INV-01-0110,2023-09,1442886
RCT-01-0111,INV-01-0111,2023-09,1442886
RCT-01-0112,INV-01-0112,2023-09,1442886
RCT-01-0113,INV-01-0113,2023-09,1442886
RCT-01-0114,INV-01-0114,2023-09,1442886
RCT-01-0115,INV-01-0115,2023-09,1442886
RCT-01-0116,INV-01-0116,2023-09,1442886
