contract_id,customer_id,monthly_cents,currency,start_date,renewal_date,consent_required,service_obligation,transfer_status
CTR-0001,CUS-0001,300000000,USD,2023-09-01,2026-09-01,True,monthly deliverable synthetic service; no prepayment,request consent
CTR-0002,CUS-0002,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0003,CUS-0003,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0004,CUS-0004,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0005,CUS-0005,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0006,CUS-0006,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0007,CUS-0007,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0008,CUS-0008,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0009,CUS-0009,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0010,CUS-0010,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0011,CUS-0011,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0012,CUS-0012,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0013,CUS-0013,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0014,CUS-0014,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0015,CUS-0015,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0016,CUS-0016,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0017,CUS-0017,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0018,CUS-0018,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0019,CUS-0019,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0020,CUS-0020,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0021,CUS-0021,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0022,CUS-0022,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0023,CUS-0023,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0024,CUS-0024,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0025,CUS-0025,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
CTR-0026,CUS-0026,2404810,USD,2023-09-01,2026-09-01,False,monthly deliverable synthetic service; no prepayment,permitted under scenario assumptions
