period,customer_id,gpu_cents,power_cents,support_cents,retry_cents,total_cents
2023-09,CUS-0001,138600000,19800000,29700000,9900000,198000000
2023-09,CUS-0002,606011,86573,129859,43288,865731
2023-09,CUS-0003,606011,86573,129859,43288,865731
2023-09,CUS-0004,606011,86573,129859,43288,865731
2023-09,CUS-0005,606011,86573,129859,43288,865731
2023-09,CUS-0006,606011,86573,129859,43288,865731
2023-09,CUS-0007,606011,86573,129859,43288,865731
2023-09,CUS-0008,606011,86573,129859,43288,865731
2023-09,CUS-0009,606011,86573,129859,43288,865731
2023-09,CUS-0010,606011,86573,129859,43288,865731
2023-09,CUS-0011,606011,86573,129859,43288,865731
2023-09,CUS-0012,606011,86573,129859,43288,865731
2023-09,CUS-0013,606011,86573,129859,43288,865731
2023-09,CUS-0014,606011,86573,129859,43288,865731
2023-09,CUS-0015,606011,86573,129859,43288,865731
2023-09,CUS-0016,606011,86573,129859,43288,865731
2023-09,CUS-0017,606011,86573,129859,43288,865731
2023-09,CUS-0018,606011,86573,129859,43288,865731
2023-09,CUS-0019,606011,86573,129859,43288,865731
2023-09,CUS-0020,606011,86573,129859,43288,865731
2023-09,CUS-0021,606011,86573,129859,43288,865731
2023-09,CUS-0022,606011,86573,129859,43288,865731
2023-09,CUS-0023,606011,86573,129859,43288,865731
2023-09,CUS-0024,606011,86573,129859,43288,865731
2023-09,CUS-0025,606011,86573,129859,43288,865731
2023-09,CUS-0026,606011,86573,129859,43288,865731
2023-09,CUS-0027,606011,86573,129859,43288,865731
2023-09,CUS-0028,606011,86573,129859,43288,865731
2023-09,CUS-0029,606011,86573,129859,43288,865731
2023-09,CUS-0030,606011,86573,129859,43288,865731
2023-09,CUS-0031,606011,86573,129859,43288,865731
2023-09,CUS-0032,606011,86573,129859,43288,865731
2023-09,CUS-0033,606011,86573,129859,43288,865731
2023-09,CUS-0034,606011,86573,129859,43288,865731
2023-09,CUS-0035,606011,86573,129859,43288,865731
2023-09,CUS-0036,606011,86573,129859,43288,865731
2023-09,CUS-0037,606011,86573,129859,43288,865731
2023-09,CUS-0038,606011,86573,129859,43288,865731
2023-09,CUS-0039,606011,86573,129859,43288,865731
2023-09,CUS-0040,606011,86573,129859,43288,865731
2023-09,CUS-0041,606011,86573,129859,43288,865731
2023-09,CUS-0042,606011,86573,129859,43288,865731
2023-09,CUS-0043,606011,86573,129859,43288,865731
2023-09,CUS-0044,606011,86573,129859,43288,865731
2023-09,CUS-0045,606011,86573,129859,43288,865731
2023-09,CUS-0046,606011,86573,129859,43288,865731
2023-09,CUS-0047,606011,86573,129859,43288,865731
2023-09,CUS-0048,606011,86573,129859,43288,865731
2023-09,CUS-0049,606011,86573,129859,43288,865731
2023-09,CUS-0050,606011,86573,129859,43288,865731
2023-09,CUS-0051,606011,86573,129859,43288,865731
2023-09,CUS-0052,606011,86573,129859,43288,865731
2023-09,CUS-0053,606011,86573,129859,43288,865731
2023-09,CUS-0054,606011,86573,129859,43288,865731
2023-09,CUS-0055,606011,86573,129859,43288,865731
2023-09,CUS-0056,606011,86573,129859,43288,865731
2023-09,CUS-0057,606011,86573,129859,43288,865731
2023-09,CUS-0058,606011,86573,129859,43288,865731
2023-09,CUS-0059,606011,86573,129859,43288,865731
2023-09,CUS-0060,606011,86573,129859,43288,865731
2023-09,CUS-0061,606011,86573,129859,43288,865731
2023-09,CUS-0062,606011,86573,129859,43288,865731
2023-09,CUS-0063,606011,86573,129859,43288,865731
2023-09,CUS-0064,606011,86573,129859,43288,865731
2023-09,CUS-0065,606011,86573,129859,43288,865731
2023-09,CUS-0066,606011,86573,129859,43288,865731
2023-09,CUS-0067,606011,86573,129859,43288,865731
2023-09,CUS-0068,606011,86573,129859,43288,865731
2023-09,CUS-0069,606011,86573,129859,43288,865731
2023-09,CUS-0070,606011,86573,129859,43288,865731
2023-09,CUS-0071,606011,86573,129859,43288,865731
2023-09,CUS-0072,606011,86573,129859,43288,865731
2023-09,CUS-0073,606011,86573,129859,43288,865731
2023-09,CUS-0074,606011,86573,129859,43288,865731
2023-09,CUS-0075,606011,86573,129859,43288,865731
