customer_id,entity_id,name,product,mrr_cents,contract_id,change_control_consent
CUS-0001,ENT-02,Synthetic Customer 0001,inference,300000000,CTR-0001,True
CUS-0002,ENT-03,Synthetic Customer 0002,reserved_gpu,2404810,CTR-0002,False
CUS-0003,ENT-04,Synthetic Customer 0003,dataset_pipeline,2404810,CTR-0003,False
CUS-0004,ENT-05,Synthetic Customer 0004,inference,2404810,CTR-0004,False
CUS-0005,ENT-06,Synthetic Customer 0005,reserved_gpu,2404810,CTR-0005,False
CUS-0006,ENT-02,Synthetic Customer 0006,dataset_pipeline,2404810,CTR-0006,False
CUS-0007,ENT-03,Synthetic Customer 0007,inference,2404810,CTR-0007,False
CUS-0008,ENT-04,Synthetic Customer 0008,reserved_gpu,2404810,CTR-0008,False
CUS-0009,ENT-05,Synthetic Customer 0009,dataset_pipeline,2404810,CTR-0009,False
CUS-0010,ENT-06,Synthetic Customer 0010,inference,2404810,CTR-0010,False
CUS-0011,ENT-02,Synthetic Customer 0011,reserved_gpu,2404810,CTR-0011,False
CUS-0012,ENT-03,Synthetic Customer 0012,dataset_pipeline,2404810,CTR-0012,False
CUS-0013,ENT-04,Synthetic Customer 0013,inference,2404810,CTR-0013,False
CUS-0014,ENT-05,Synthetic Customer 0014,reserved_gpu,2404810,CTR-0014,False
CUS-0015,ENT-06,Synthetic Customer 0015,dataset_pipeline,2404810,CTR-0015,False
CUS-0016,ENT-02,Synthetic Customer 0016,inference,2404810,CTR-0016,False
CUS-0017,ENT-03,Synthetic Customer 0017,reserved_gpu,2404810,CTR-0017,False
CUS-0018,ENT-04,Synthetic Customer 0018,dataset_pipeline,2404810,CTR-0018,False
CUS-0019,ENT-05,Synthetic Customer 0019,inference,2404810,CTR-0019,False
CUS-0020,ENT-06,Synthetic Customer 0020,reserved_gpu,2404810,CTR-0020,False
CUS-0021,ENT-02,Synthetic Customer 0021,dataset_pipeline,2404810,CTR-0021,False
CUS-0022,ENT-03,Synthetic Customer 0022,inference,2404810,CTR-0022,False
CUS-0023,ENT-04,Synthetic Customer 0023,reserved_gpu,2404810,CTR-0023,False
CUS-0024,ENT-05,Synthetic Customer 0024,dataset_pipeline,2404810,CTR-0024,False
CUS-0025,ENT-06,Synthetic Customer 0025,inference,2404810,CTR-0025,False
