employee_id,entity_id,role,monthly_salary_cents
EMP-0001,ENT-02,engineering,166667
EMP-0002,ENT-03,operations,166667
EMP-0003,ENT-04,commercial,166667
EMP-0004,ENT-05,support,166667
EMP-0005,ENT-06,engineering,166667
EMP-0006,ENT-02,operations,166667
EMP-0007,ENT-03,commercial,166667
EMP-0008,ENT-04,support,166667
EMP-0009,ENT-05,engineering,166667
EMP-0010,ENT-06,operations,166667
EMP-0011,ENT-02,commercial,166667
EMP-0012,ENT-03,support,166667
EMP-0013,ENT-04,engineering,166667
EMP-0014,ENT-05,operations,166667
EMP-0015,ENT-06,commercial,166667
EMP-0016,ENT-02,support,166667
EMP-0017,ENT-03,engineering,166667
EMP-0018,ENT-04,operations,166667
EMP-0019,ENT-05,commercial,166667
EMP-0020,ENT-06,support,166667
EMP-0021,ENT-02,engineering,166667
EMP-0022,ENT-03,operations,166667
EMP-0023,ENT-04,commercial,166667
EMP-0024,ENT-05,support,166667
EMP-0025,ENT-06,engineering,166667
EMP-0026,ENT-02,operations,166667
EMP-0027,ENT-03,commercial,166667
EMP-0028,ENT-04,support,166667
EMP-0029,ENT-05,engineering,166667
EMP-0030,ENT-06,operations,166667
EMP-0031,ENT-02,commercial,166667
EMP-0032,ENT-03,support,166667
EMP-0033,ENT-04,engineering,166667
EMP-0034,ENT-05,operations,166667
EMP-0035,ENT-06,commercial,166667
EMP-0036,ENT-02,support,166667
EMP-0037,ENT-03,engineering,166667
EMP-0038,ENT-04,operations,166667
EMP-0039,ENT-05,commercial,166667
EMP-0040,ENT-06,support,166667
EMP-0041,ENT-02,engineering,166667
EMP-0042,ENT-03,operations,166667
EMP-0043,ENT-04,commercial,166667
EMP-0044,ENT-05,support,166667
EMP-0045,ENT-06,engineering,166667
EMP-0046,ENT-02,operations,166667
EMP-0047,ENT-03,commercial,166667
EMP-0048,ENT-04,support,166667
EMP-0049,ENT-05,engineering,166667
EMP-0050,ENT-06,operations,166667
EMP-0051,ENT-02,commercial,166667
EMP-0052,ENT-03,support,166667
EMP-0053,ENT-04,engineering,166667
EMP-0054,ENT-05,operations,166667
EMP-0055,ENT-06,commercial,166667
EMP-0056,ENT-02,support,166667
EMP-0057,ENT-03,engineering,166667
EMP-0058,ENT-04,operations,166667
EMP-0059,ENT-05,commercial,166667
EMP-0060,ENT-06,support,166667
EMP-0061,ENT-02,engineering,166667
EMP-0062,ENT-03,operations,166667
EMP-0063,ENT-04,commercial,166667
EMP-0064,ENT-05,support,166667
EMP-0065,ENT-06,engineering,166667
EMP-0066,ENT-02,operations,166667
EMP-0067,ENT-03,commercial,166667
EMP-0068,ENT-04,support,166667
EMP-0069,ENT-05,engineering,166667
EMP-0070,ENT-06,operations,166667
EMP-0071,ENT-02,commercial,166667
EMP-0072,ENT-03,support,166667
EMP-0073,ENT-04,engineering,166667
EMP-0074,ENT-05,operations,166667
EMP-0075,ENT-06,commercial,166667
EMP-0076,ENT-02,support,166667
EMP-0077,ENT-03,engineering,166667
EMP-0078,ENT-04,operations,166667
EMP-0079,ENT-05,commercial,166667
EMP-0080,ENT-06,support,166667
EMP-0081,ENT-02,engineering,166667
EMP-0082,ENT-03,operations,166667
EMP-0083,ENT-04,commercial,166667
EMP-0084,ENT-05,support,166667
EMP-0085,ENT-06,engineering,166667
EMP-0086,ENT-02,operations,166667
EMP-0087,ENT-03,commercial,166667
EMP-0088,ENT-04,support,166667
EMP-0089,ENT-05,engineering,166667
EMP-0090,ENT-06,operations,166667
EMP-0091,ENT-02,commercial,166667
EMP-0092,ENT-03,support,166667
EMP-0093,ENT-04,engineering,166667
EMP-0094,ENT-05,operations,166667
EMP-0095,ENT-06,commercial,166667
EMP-0096,ENT-02,support,166667
EMP-0097,ENT-03,engineering,166667
EMP-0098,ENT-04,operations,166667
EMP-0099,ENT-05,commercial,166667
EMP-0100,ENT-06,support,166667
EMP-0101,ENT-02,engineering,166667
EMP-0102,ENT-03,operations,166667
EMP-0103,ENT-04,commercial,166667
EMP-0104,ENT-05,support,166667
EMP-0105,ENT-06,engineering,166667
EMP-0106,ENT-02,operations,166667
EMP-0107,ENT-03,commercial,166667
EMP-0108,ENT-04,support,166667
EMP-0109,ENT-05,engineering,166667
EMP-0110,ENT-06,operations,166667
EMP-0111,ENT-02,commercial,166667
EMP-0112,ENT-03,support,166667
EMP-0113,ENT-04,engineering,166667
EMP-0114,ENT-05,operations,166667
EMP-0115,ENT-06,commercial,166667
EMP-0116,ENT-02,support,166667
EMP-0117,ENT-03,engineering,166667
EMP-0118,ENT-04,operations,166667
EMP-0119,ENT-05,commercial,166667
EMP-0120,ENT-06,support,166667
EMP-0121,ENT-02,engineering,166667
EMP-0122,ENT-03,operations,166667
EMP-0123,ENT-04,commercial,166667
EMP-0124,ENT-05,support,166667
EMP-0125,ENT-06,engineering,166667
EMP-0126,ENT-02,operations,166667
EMP-0127,ENT-03,commercial,166667
EMP-0128,ENT-04,support,166667
EMP-0129,ENT-05,engineering,166667
EMP-0130,ENT-06,operations,166667
EMP-0131,ENT-02,commercial,166667
EMP-0132,ENT-03,support,166667
EMP-0133,ENT-04,engineering,166667
EMP-0134,ENT-05,operations,166667
EMP-0135,ENT-06,commercial,166667
EMP-0136,ENT-02,support,166667
EMP-0137,ENT-03,engineering,166667
EMP-0138,ENT-04,operations,166667
EMP-0139,ENT-05,commercial,166667
EMP-0140,ENT-06,support,166667
EMP-0141,ENT-02,engineering,166667
EMP-0142,ENT-03,operations,166667
EMP-0143,ENT-04,commercial,166667
EMP-0144,ENT-05,support,166667
EMP-0145,ENT-06,engineering,166667
EMP-0146,ENT-02,operations,166667
EMP-0147,ENT-03,commercial,166667
EMP-0148,ENT-04,support,166667
EMP-0149,ENT-05,engineering,166667
EMP-0150,ENT-06,operations,166667
EMP-0151,ENT-02,commercial,166667
EMP-0152,ENT-03,support,166667
EMP-0153,ENT-04,engineering,166667
EMP-0154,ENT-05,operations,166667
EMP-0155,ENT-06,commercial,166667
EMP-0156,ENT-02,support,166667
EMP-0157,ENT-03,engineering,166667
EMP-0158,ENT-04,operations,166667
EMP-0159,ENT-05,commercial,166667
EMP-0160,ENT-06,support,166667
EMP-0161,ENT-02,engineering,166667
EMP-0162,ENT-03,operations,166667
EMP-0163,ENT-04,commercial,166667
EMP-0164,ENT-05,support,166667
EMP-0165,ENT-06,engineering,166667
EMP-0166,ENT-02,operations,166667
EMP-0167,ENT-03,commercial,166667
EMP-0168,ENT-04,support,166667
EMP-0169,ENT-05,engineering,166667
EMP-0170,ENT-06,operations,166667
EMP-0171,ENT-02,commercial,166667
EMP-0172,ENT-03,support,166667
EMP-0173,ENT-04,engineering,166667
EMP-0174,ENT-05,operations,166667
EMP-0175,ENT-06,commercial,166667
EMP-0176,ENT-02,support,166667
EMP-0177,ENT-03,engineering,166667
EMP-0178,ENT-04,operations,166667
EMP-0179,ENT-05,commercial,166667
EMP-0180,ENT-06,support,166667
EMP-0181,ENT-02,engineering,166667
EMP-0182,ENT-03,operations,166667
EMP-0183,ENT-04,commercial,166667
EMP-0184,ENT-05,support,166667
EMP-0185,ENT-06,engineering,166667
EMP-0186,ENT-02,operations,166667
EMP-0187,ENT-03,commercial,166667
EMP-0188,ENT-04,support,166667
EMP-0189,ENT-05,engineering,166667
EMP-0190,ENT-06,operations,166667
EMP-0191,ENT-02,commercial,166667
EMP-0192,ENT-03,support,166667
EMP-0193,ENT-04,engineering,166667
EMP-0194,ENT-05,operations,166667
EMP-0195,ENT-06,commercial,166667
EMP-0196,ENT-02,support,166667
EMP-0197,ENT-03,engineering,166667
EMP-0198,ENT-04,operations,166667
EMP-0199,ENT-05,commercial,166667
EMP-0200,ENT-06,support,166667
EMP-0201,ENT-02,engineering,166667
EMP-0202,ENT-03,operations,166667
EMP-0203,ENT-04,commercial,166667
EMP-0204,ENT-05,support,166667
EMP-0205,ENT-06,engineering,166667
EMP-0206,ENT-02,operations,166667
EMP-0207,ENT-03,commercial,166667
EMP-0208,ENT-04,support,166667
EMP-0209,ENT-05,engineering,166667
EMP-0210,ENT-06,operations,166667
EMP-0211,ENT-02,commercial,166667
EMP-0212,ENT-03,support,166667
EMP-0213,ENT-04,engineering,166667
EMP-0214,ENT-05,operations,166667
EMP-0215,ENT-06,commercial,166667
EMP-0216,ENT-02,support,166667
EMP-0217,ENT-03,engineering,166667
EMP-0218,ENT-04,operations,166667
EMP-0219,ENT-05,commercial,166667
EMP-0220,ENT-06,support,166667
EMP-0221,ENT-02,engineering,166667
EMP-0222,ENT-03,operations,166667
EMP-0223,ENT-04,commercial,166667
EMP-0224,ENT-05,support,166667
EMP-0225,ENT-06,engineering,166667
EMP-0226,ENT-02,operations,166667
EMP-0227,ENT-03,commercial,166667
EMP-0228,ENT-04,support,166667
EMP-0229,ENT-05,engineering,166667
EMP-0230,ENT-06,operations,166667
EMP-0231,ENT-02,commercial,166667
EMP-0232,ENT-03,support,166667
EMP-0233,ENT-04,engineering,166667
EMP-0234,ENT-05,operations,166667
EMP-0235,ENT-06,commercial,166667
EMP-0236,ENT-02,support,166667
