invoice_id,period,customer_id,contract_id,kind,amount_cents,recognized_cents,collected_cents
INV-01-0001,2023-09,CUS-0001,CTR-0001,recurring,180000000,180000000,180000000
INV-01-0002,2023-09,CUS-0002,CTR-0002,recurring,1442886,1442886,1442886
INV-01-0003,2023-09,CUS-0003,CTR-0003,recurring,1442886,1442886,1442886
INV-01-0004,2023-09,CUS-0004,CTR-0004,recurring,1442886,1442886,1442886
INV-01-0005,2023-09,CUS-0005,CTR-0005,recurring,1442886,1442886,1442886
INV-01-0006,2023-09,CUS-0006,CTR-0006,recurring,1442886,1442886,1442886
INV-01-0007,2023-09,CUS-0007,CTR-0007,recurring,1442886,1442886,1442886
INV-01-0008,2023-09,CUS-0008,CTR-0008,recurring,1442886,1442886,1442886
INV-01-0009,2023-09,CUS-0009,CTR-0009,recurring,1442886,1442886,1442886
INV-01-0010,2023-09,CUS-0010,CTR-0010,recurring,1442886,1442886,1442886
INV-01-0011,2023-09,CUS-0011,CTR-0011,recurring,1442886,1442886,1442886
INV-01-0012,2023-09,CUS-0012,CTR-0012,recurring,1442886,1442886,1442886
INV-01-0013,2023-09,CUS-0013,CTR-0013,recurring,1442886,1442886,1442886
INV-01-0014,2023-09,CUS-0014,CTR-0014,recurring,1442886,1442886,1442886
INV-01-0015,2023-09,CUS-0015,CTR-0015,recurring,1442886,1442886,1442886
INV-01-0016,2023-09,CUS-0016,CTR-0016,recurring,1442886,1442886,1442886
INV-01-0017,2023-09,CUS-0017,CTR-0017,recurring,1442886,1442886,1442886
INV-01-0018,2023-09,CUS-0018,CTR-0018,recurring,1442886,1442886,1442886
INV-01-0019,2023-09,CUS-0019,CTR-0019,recurring,1442886,1442886,1442886
INV-01-0020,2023-09,CUS-0020,CTR-0020,recurring,1442886,1442886,1442886
INV-01-0021,2023-09,CUS-0021,CTR-0021,recurring,1442886,1442886,1442886
INV-01-0022,2023-09,CUS-0022,CTR-0022,recurring,1442886,1442886,1442886
INV-01-0023,2023-09,CUS-0023,CTR-0023,recurring,1442886,1442886,1442886
INV-01-0024,2023-09,CUS-0024,CTR-0024,recurring,1442886,1442886,1442886
INV-01-0025,2023-09,CUS-0025,CTR-0025,recurring,1442886,1442886,1442886
INV-01-0026,2023-09,CUS-0026,CTR-0026,recurring,1442886,1442886,1442886
INV-01-0027,2023-09,CUS-0027,CTR-0027,recurring,1442886,1442886,1442886
INV-01-0028,2023-09,CUS-0028,CTR-0028,recurring,1442886,1442886,1442886
INV-01-0029,2023-09,CUS-0029,CTR-0029,recurring,1442886,1442886,1442886
INV-01-0030,2023-09,CUS-0030,CTR-0030,recurring,1442886,1442886,1442886
INV-01-0031,2023-09,CUS-0031,CTR-0031,recurring,1442886,1442886,1442886
INV-01-0032,2023-09,CUS-0032,CTR-0032,recurring,1442886,1442886,1442886
INV-01-0033,2023-09,CUS-0033,CTR-0033,recurring,1442886,1442886,1442886
INV-01-0034,2023-09,CUS-0034,CTR-0034,recurring,1442886,1442886,1442886
INV-01-0035,2023-09,CUS-0035,CTR-0035,recurring,1442886,1442886,1442886
INV-01-0036,2023-09,CUS-0036,CTR-0036,recurring,1442886,1442886,1442886
INV-01-0037,2023-09,CUS-0037,CTR-0037,recurring,1442886,1442886,1442886
INV-01-0038,2023-09,CUS-0038,CTR-0038,recurring,1442886,1442886,1442886
INV-01-0039,2023-09,CUS-0039,CTR-0039,recurring,1442886,1442886,1442886
INV-01-0040,2023-09,CUS-0040,CTR-0040,recurring,1442886,1442886,1442886
