journal_id,period,reference,account,signed_cents
JRN-000001,2023-09,INV-01-0001,ar,180000000
JRN-000001,2023-09,INV-01-0001,revenue,-180000000
JRN-000002,2023-09,INV-01-0001,cash,180000000
JRN-000002,2023-09,INV-01-0001,ar,-180000000
JRN-000003,2023-09,COST-INV-01-0001,cogs,198000000
JRN-000003,2023-09,COST-INV-01-0001,cash,-198000000
JRN-000004,2023-09,INV-01-0002,ar,1442886
JRN-000004,2023-09,INV-01-0002,revenue,-1442886
JRN-000005,2023-09,INV-01-0002,cash,1442886
JRN-000005,2023-09,INV-01-0002,ar,-1442886
JRN-000006,2023-09,COST-INV-01-0002,cogs,865731
JRN-000006,2023-09,COST-INV-01-0002,cash,-865731
JRN-000007,2023-09,INV-01-0003,ar,1442886
JRN-000007,2023-09,INV-01-0003,revenue,-1442886
JRN-000008,2023-09,INV-01-0003,cash,1442886
JRN-000008,2023-09,INV-01-0003,ar,-1442886
JRN-000009,2023-09,COST-INV-01-0003,cogs,865731
JRN-000009,2023-09,COST-INV-01-0003,cash,-865731
JRN-000010,2023-09,INV-01-0004,ar,1442886
JRN-000010,2023-09,INV-01-0004,revenue,-1442886
JRN-000011,2023-09,INV-01-0004,cash,1442886
JRN-000011,2023-09,INV-01-0004,ar,-1442886
JRN-000012,2023-09,COST-INV-01-0004,cogs,865731
JRN-000012,2023-09,COST-INV-01-0004,cash,-865731
JRN-000013,2023-09,INV-01-0005,ar,1442886
JRN-000013,2023-09,INV-01-0005,revenue,-1442886
JRN-000014,2023-09,INV-01-0005,cash,1442886
JRN-000014,2023-09,INV-01-0005,ar,-1442886
JRN-000015,2023-09,COST-INV-01-0005,cogs,865731
JRN-000015,2023-09,COST-INV-01-0005,cash,-865731
JRN-000016,2023-09,INV-01-0006,ar,1442886
JRN-000016,2023-09,INV-01-0006,revenue,-1442886
JRN-000017,2023-09,INV-01-0006,cash,1442886
JRN-000017,2023-09,INV-01-0006,ar,-1442886
JRN-000018,2023-09,COST-INV-01-0006,cogs,865731
JRN-000018,2023-09,COST-INV-01-0006,cash,-865731
JRN-000019,2023-09,INV-01-0007,ar,1442886
JRN-000019,2023-09,INV-01-0007,revenue,-1442886
JRN-000020,2023-09,INV-01-0007,cash,1442886
JRN-000020,2023-09,INV-01-0007,ar,-1442886
JRN-000021,2023-09,COST-INV-01-0007,cogs,865731
JRN-000021,2023-09,COST-INV-01-0007,cash,-865731
JRN-000022,2023-09,INV-01-0008,ar,1442886
JRN-000022,2023-09,INV-01-0008,revenue,-1442886
JRN-000023,2023-09,INV-01-0008,cash,1442886
JRN-000023,2023-09,INV-01-0008,ar,-1442886
JRN-000024,2023-09,COST-INV-01-0008,cogs,865731
JRN-000024,2023-09,COST-INV-01-0008,cash,-865731
JRN-000025,2023-09,INV-01-0009,ar,1442886
JRN-000025,2023-09,INV-01-0009,revenue,-1442886
JRN-000026,2023-09,INV-01-0009,cash,1442886
JRN-000026,2023-09,INV-01-0009,ar,-1442886
JRN-000027,2023-09,COST-INV-01-0009,cogs,865731
JRN-000027,2023-09,COST-INV-01-0009,cash,-865731
JRN-000028,2023-09,INV-01-0010,ar,1442886
JRN-000028,2023-09,INV-01-0010,revenue,-1442886
JRN-000029,2023-09,INV-01-0010,cash,1442886
JRN-000029,2023-09,INV-01-0010,ar,-1442886
JRN-000030,2023-09,COST-INV-01-0010,cogs,865731
JRN-000030,2023-09,COST-INV-01-0010,cash,-865731
JRN-000031,2023-09,INV-01-0011,ar,1442886
JRN-000031,2023-09,INV-01-0011,revenue,-1442886
JRN-000032,2023-09,INV-01-0011,cash,1442886
JRN-000032,2023-09,INV-01-0011,ar,-1442886
JRN-000033,2023-09,COST-INV-01-0011,cogs,865731
JRN-000033,2023-09,COST-INV-01-0011,cash,-865731
JRN-000034,2023-09,INV-01-0012,ar,1442886
JRN-000034,2023-09,INV-01-0012,revenue,-1442886
JRN-000035,2023-09,INV-01-0012,cash,1442886
JRN-000035,2023-09,INV-01-0012,ar,-1442886
JRN-000036,2023-09,COST-INV-01-0012,cogs,865731
JRN-000036,2023-09,COST-INV-01-0012,cash,-865731
JRN-000037,2023-09,INV-01-0013,ar,1442886
JRN-000037,2023-09,INV-01-0013,revenue,-1442886
JRN-000038,2023-09,INV-01-0013,cash,1442886
JRN-000038,2023-09,INV-01-0013,ar,-1442886
JRN-000039,2023-09,COST-INV-01-0013,cogs,865731
JRN-000039,2023-09,COST-INV-01-0013,cash,-865731
JRN-000040,2023-09,INV-01-0014,ar,1442886
JRN-000040,2023-09,INV-01-0014,revenue,-1442886
JRN-000041,2023-09,INV-01-0014,cash,1442886
JRN-000041,2023-09,INV-01-0014,ar,-1442886
JRN-000042,2023-09,COST-INV-01-0014,cogs,865731
JRN-000042,2023-09,COST-INV-01-0014,cash,-865731
JRN-000043,2023-09,INV-01-0015,ar,1442886
JRN-000043,2023-09,INV-01-0015,revenue,-1442886
JRN-000044,2023-09,INV-01-0015,cash,1442886
JRN-000044,2023-09,INV-01-0015,ar,-1442886
JRN-000045,2023-09,COST-INV-01-0015,cogs,865731
JRN-000045,2023-09,COST-INV-01-0015,cash,-865731
JRN-000046,2023-09,INV-01-0016,ar,1442886
JRN-000046,2023-09,INV-01-0016,revenue,-1442886
JRN-000047,2023-09,INV-01-0016,cash,1442886
JRN-000047,2023-09,INV-01-0016,ar,-1442886
JRN-000048,2023-09,COST-INV-01-0016,cogs,865731
JRN-000048,2023-09,COST-INV-01-0016,cash,-865731
JRN-000049,2023-09,INV-01-0017,ar,1442886
JRN-000049,2023-09,INV-01-0017,revenue,-1442886
JRN-000050,2023-09,INV-01-0017,cash,1442886
JRN-000050,2023-09,INV-01-0017,ar,-1442886
JRN-000051,2023-09,COST-INV-01-0017,cogs,865731
JRN-000051,2023-09,COST-INV-01-0017,cash,-865731
JRN-000052,2023-09,INV-01-0018,ar,1442886
JRN-000052,2023-09,INV-01-0018,revenue,-1442886
JRN-000053,2023-09,INV-01-0018,cash,1442886
JRN-000053,2023-09,INV-01-0018,ar,-1442886
JRN-000054,2023-09,COST-INV-01-0018,cogs,865731
JRN-000054,2023-09,COST-INV-01-0018,cash,-865731
JRN-000055,2023-09,INV-01-0019,ar,1442886
JRN-000055,2023-09,INV-01-0019,revenue,-1442886
JRN-000056,2023-09,INV-01-0019,cash,1442886
JRN-000056,2023-09,INV-01-0019,ar,-1442886
JRN-000057,2023-09,COST-INV-01-0019,cogs,865731
JRN-000057,2023-09,COST-INV-01-0019,cash,-865731
JRN-000058,2023-09,INV-01-0020,ar,1442886
JRN-000058,2023-09,INV-01-0020,revenue,-1442886
JRN-000059,2023-09,INV-01-0020,cash,1442886
JRN-000059,2023-09,INV-01-0020,ar,-1442886
JRN-000060,2023-09,COST-INV-01-0020,cogs,865731
JRN-000060,2023-09,COST-INV-01-0020,cash,-865731
JRN-000061,2023-09,INV-01-0021,ar,1442886
JRN-000061,2023-09,INV-01-0021,revenue,-1442886
JRN-000062,2023-09,INV-01-0021,cash,1442886
JRN-000062,2023-09,INV-01-0021,ar,-1442886
JRN-000063,2023-09,COST-INV-01-0021,cogs,865731
JRN-000063,2023-09,COST-INV-01-0021,cash,-865731
JRN-000064,2023-09,INV-01-0022,ar,1442886
JRN-000064,2023-09,INV-01-0022,revenue,-1442886
JRN-000065,2023-09,INV-01-0022,cash,1442886
JRN-000065,2023-09,INV-01-0022,ar,-1442886
JRN-000066,2023-09,COST-INV-01-0022,cogs,865731
JRN-000066,2023-09,COST-INV-01-0022,cash,-865731
JRN-000067,2023-09,INV-01-0023,ar,1442886
JRN-000067,2023-09,INV-01-0023,revenue,-1442886
JRN-000068,2023-09,INV-01-0023,cash,1442886
JRN-000068,2023-09,INV-01-0023,ar,-1442886
JRN-000069,2023-09,COST-INV-01-0023,cogs,865731
JRN-000069,2023-09,COST-INV-01-0023,cash,-865731
JRN-000070,2023-09,INV-01-0024,ar,1442886
JRN-000070,2023-09,INV-01-0024,revenue,-1442886
JRN-000071,2023-09,INV-01-0024,cash,1442886
JRN-000071,2023-09,INV-01-0024,ar,-1442886
JRN-000072,2023-09,COST-INV-01-0024,cogs,865731
JRN-000072,2023-09,COST-INV-01-0024,cash,-865731
JRN-000073,2023-09,INV-01-0025,ar,1442886
JRN-000073,2023-09,INV-01-0025,revenue,-1442886
JRN-000074,2023-09,INV-01-0025,cash,1442886
JRN-000074,2023-09,INV-01-0025,ar,-1442886
JRN-000075,2023-09,COST-INV-01-0025,cogs,865731
JRN-000075,2023-09,COST-INV-01-0025,cash,-865731
JRN-000076,2023-09,INV-01-0026,ar,1442886
JRN-000076,2023-09,INV-01-0026,revenue,-1442886
JRN-000077,2023-09,INV-01-0026,cash,1442886
JRN-000077,2023-09,INV-01-0026,ar,-1442886
JRN-000078,2023-09,COST-INV-01-0026,cogs,865731
JRN-000078,2023-09,COST-INV-01-0026,cash,-865731
JRN-000079,2023-09,INV-01-0027,ar,1442886
JRN-000079,2023-09,INV-01-0027,revenue,-1442886
JRN-000080,2023-09,INV-01-0027,cash,1442886
JRN-000080,2023-09,INV-01-0027,ar,-1442886
JRN-000081,2023-09,COST-INV-01-0027,cogs,865731
JRN-000081,2023-09,COST-INV-01-0027,cash,-865731
JRN-000082,2023-09,INV-01-0028,ar,1442886
JRN-000082,2023-09,INV-01-0028,revenue,-1442886
JRN-000083,2023-09,INV-01-0028,cash,1442886
JRN-000083,2023-09,INV-01-0028,ar,-1442886
JRN-000084,2023-09,COST-INV-01-0028,cogs,865731
JRN-000084,2023-09,COST-INV-01-0028,cash,-865731
JRN-000085,2023-09,INV-01-0029,ar,1442886
JRN-000085,2023-09,INV-01-0029,revenue,-1442886
JRN-000086,2023-09,INV-01-0029,cash,1442886
JRN-000086,2023-09,INV-01-0029,ar,-1442886
JRN-000087,2023-09,COST-INV-01-0029,cogs,865731
JRN-000087,2023-09,COST-INV-01-0029,cash,-865731
JRN-000088,2023-09,INV-01-0030,ar,1442886
JRN-000088,2023-09,INV-01-0030,revenue,-1442886
JRN-000089,2023-09,INV-01-0030,cash,1442886
JRN-000089,2023-09,INV-01-0030,ar,-1442886
JRN-000090,2023-09,COST-INV-01-0030,cogs,865731
JRN-000090,2023-09,COST-INV-01-0030,cash,-865731
JRN-000091,2023-09,INV-01-0031,ar,1442886
JRN-000091,2023-09,INV-01-0031,revenue,-1442886
JRN-000092,2023-09,INV-01-0031,cash,1442886
JRN-000092,2023-09,INV-01-0031,ar,-1442886
JRN-000093,2023-09,COST-INV-01-0031,cogs,865731
JRN-000093,2023-09,COST-INV-01-0031,cash,-865731
JRN-000094,2023-09,INV-01-0032,ar,1442886
JRN-000094,2023-09,INV-01-0032,revenue,-1442886
JRN-000095,2023-09,INV-01-0032,cash,1442886
JRN-000095,2023-09,INV-01-0032,ar,-1442886
JRN-000096,2023-09,COST-INV-01-0032,cogs,865731
JRN-000096,2023-09,COST-INV-01-0032,cash,-865731
JRN-000097,2023-09,INV-01-0033,ar,1442886
JRN-000097,2023-09,INV-01-0033,revenue,-1442886
JRN-000098,2023-09,INV-01-0033,cash,1442886
JRN-000098,2023-09,INV-01-0033,ar,-1442886
JRN-000099,2023-09,COST-INV-01-0033,cogs,865731
JRN-000099,2023-09,COST-INV-01-0033,cash,-865731
JRN-000100,2023-09,INV-01-0034,ar,1442886
JRN-000100,2023-09,INV-01-0034,revenue,-1442886
JRN-000101,2023-09,INV-01-0034,cash,1442886
JRN-000101,2023-09,INV-01-0034,ar,-1442886
JRN-000102,2023-09,COST-INV-01-0034,cogs,865731
JRN-000102,2023-09,COST-INV-01-0034,cash,-865731
JRN-000103,2023-09,INV-01-0035,ar,1442886
JRN-000103,2023-09,INV-01-0035,revenue,-1442886
JRN-000104,2023-09,INV-01-0035,cash,1442886
JRN-000104,2023-09,INV-01-0035,ar,-1442886
JRN-000105,2023-09,COST-INV-01-0035,cogs,865731
JRN-000105,2023-09,COST-INV-01-0035,cash,-865731
JRN-000106,2023-09,INV-01-0036,ar,1442886
JRN-000106,2023-09,INV-01-0036,revenue,-1442886
JRN-000107,2023-09,INV-01-0036,cash,1442886
JRN-000107,2023-09,INV-01-0036,ar,-1442886
JRN-000108,2023-09,COST-INV-01-0036,cogs,865731
JRN-000108,2023-09,COST-INV-01-0036,cash,-865731
JRN-000109,2023-09,INV-01-0037,ar,1442886
JRN-000109,2023-09,INV-01-0037,revenue,-1442886
JRN-000110,2023-09,INV-01-0037,cash,1442886
JRN-000110,2023-09,INV-01-0037,ar,-1442886
JRN-000111,2023-09,COST-INV-01-0037,cogs,865731
JRN-000111,2023-09,COST-INV-01-0037,cash,-865731
JRN-000112,2023-09,INV-01-0038,ar,1442886
JRN-000112,2023-09,INV-01-0038,revenue,-1442886
