period,revenue_cents,cogs_cents,payroll_cents,depreciation_cents,net_income_cents,cash_cents,ar_cents,ppe_net_cents,debt_cents,opening_equity_cents,retained_earnings_cents
2023-09,1009999923,684999768,200000000,100000000,25000155,10125000155,0,11900000000,8000000000,14000000000,25000155
2023-10,1026833209,696416316,200000000,100000000,30416893,10255417048,0,11800000000,8000000000,14000000000,55417048
2023-11,1043666494,707833054,200000000,100000000,35833440,10391250488,0,11700000000,8000000000,14000000000,91250488
2023-12,1060499779,719249791,200000000,100000000,41249988,10532500476,0,11600000000,8000000000,14000000000,132500476
2024-01,1077333065,730666220,200000000,100000000,46666845,10679167321,0,11500000000,8000000000,14000000000,179167321
2024-02,1094166351,742082958,200000000,100000000,52083393,10831250714,0,11400000000,8000000000,14000000000,231250714
2024-03,1110999636,753499506,200000000,100000000,57500130,10988750844,0,11300000000,8000000000,14000000000,288750844
2024-04,1127833111,764916433,200000000,100000000,62916678,11151667522,0,11200000000,8000000000,14000000000,351667522
2024-05,1144666396,776333171,200000000,100000000,68333225,11320000747,0,11100000000,8000000000,14000000000,420000747
2024-06,1161499681,787749409,200000000,100000000,73750272,11493751019,0,11000000000,8000000000,14000000000,493751019
2024-07,1178333276,799166456,200000000,100000000,79166820,11672917839,0,10900000000,8000000000,14000000000,572917839
2024-08,1195166561,810583194,200000000,100000000,84583367,11857501206,0,10800000000,8000000000,14000000000,657501206
2024-09,1211999846,821999622,200000000,100000000,90000224,12047501430,0,10700000000,8000000000,14000000000,747501430
2024-10,1228833132,833416360,200000000,100000000,95416772,12242918202,0,10600000000,8000000000,14000000000,842918202
2024-11,1245666417,844832908,200000000,100000000,100833509,12443751711,0,10500000000,8000000000,14000000000,943751711
2024-12,1262499702,856249645,200000000,100000000,106250057,12650001768,0,10400000000,8000000000,14000000000,1050001768
2025-01,1279332988,867666383,200000000,100000000,111666605,12861668373,0,10300000000,8000000000,14000000000,1161668373
2025-02,1296166274,879082812,200000000,100000000,117083462,13078751835,0,10200000000,8000000000,14000000000,1278751835
2025-03,1312999749,890499550,200000000,100000000,122500199,13301252034,0,10100000000,8000000000,14000000000,1401252034
2025-04,1329833034,901916287,200000000,100000000,127916747,13529168781,0,10000000000,8000000000,14000000000,1529168781
2025-05,1346666628,913333025,200000000,100000000,133333603,13762502384,0,9900000000,8000000000,14000000000,1662502384
2025-06,1363499913,924749762,200000000,100000000,138750151,14001252535,0,9800000000,8000000000,14000000000,1801252535
2025-07,1380333199,936166310,200000000,100000000,144166889,14245419424,0,9700000000,8000000000,14000000000,1945419424
2025-08,1397166484,947583048,200000000,100000000,149583436,14495002860,0,9600000000,8000000000,14000000000,2095002860
2025-09,1683333333,1141666590,200000000,100000000,241666743,14836669603,0,9500000000,8000000000,14000000000,2336669603
2025-10,1683333333,1141666590,200000000,100000000,241666743,15178336346,0,9400000000,8000000000,14000000000,2578336346
2025-11,1683333333,1141666590,200000000,100000000,241666743,15520003089,0,9300000000,8000000000,14000000000,2820003089
2025-12,1683333333,1141666590,200000000,100000000,241666743,15861669832,0,9200000000,8000000000,14000000000,3061669832
2026-01,1683333334,1141666591,200000000,100000000,241666743,16203336575,0,9100000000,8000000000,14000000000,3303336575
2026-02,1683333334,1141666591,200000000,100000000,241666743,16545003318,0,9000000000,8000000000,14000000000,3545003318
2026-03,1683333334,1141666591,200000000,100000000,241666743,16886670061,0,8900000000,8000000000,14000000000,3786670061
2026-04,1683333334,1141666591,200000000,100000000,241666743,17228336804,0,8800000000,8000000000,14000000000,4028336804
2026-05,1683333333,1141666590,200000000,100000000,241666743,17570003547,0,8700000000,8000000000,14000000000,4270003547
2026-06,1683333333,1141666590,200000000,100000000,241666743,17911670290,0,8600000000,8000000000,14000000000,4511670290
2026-07,1683333333,1141666590,200000000,100000000,241666743,18253337033,0,8500000000,8000000000,14000000000,4753337033
2026-08,1683333333,1141666590,200000000,100000000,241666743,16911670443,1683333333,8400000000,8000000000,14000000000,4995003776
